id2.2013,typ_border,trust_natgov,trust_eu,eqi_2013,Competitiveness,Convergence,Cooperation,Multi.Objective,Less.Developed,Transition,More.Developed,unemployment_2013,education_2013,soc_idx,migration_2013,sgi_aggregated,agr_share,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk,weight
DE13,2,1.2582091604021934,0.8861580645843405,0.02639207615695444,1,0,1,0,0,0,1,2.9,29.7,2.001722834849969,0.8615350466065772,0.05680746713562118,0.0349998612683922,1.0639957825591229,0.9937268303202738,0.5917668851378928,0.0422690632241352,1.6223781846410106,0.8572273713735443,0.155614767793313,0.05653823743355663,0.026922970206455538
DE14,2,1.0305603846773481,0.725824787057702,0.02161693700278787,1,0,1,0,0,0,1,2.9,33.1,1.6384469548090177,0.6725791671827058,0.024256953570523817,0.048513907141047634,0.8714861864610012,0.8139310511709399,0.48469803589101224,0.03462128827792944,1.328840020145241,0.7021285469867984,0.12745926512511604,0.046308729543727285,0.02205177597320347
DE21,2,1.711591568856245,1.1964523588121323,0.0578044570574168,1,0,1,0,0,0,1,2.5,37,4.095411557250474,1.4221331849930707,0.3519364613445887,0.09407106671160391,1.3269553998495658,2.305294493650246,1.816124946749906,0.08355724160854229,3.049562639103818,1.873120945992819,0.5373117986880436,0.07249005728953008,0.05533592159506112
DE22,2,0.4554013205702563,0.31833878719474223,0.015379969472731861,1,0,1,0,0,0,1,3.2,23.2,1.0426948220473384,0.33274361731530433,-0.01442870552960169,0.05005877428637322,0.3530615904080087,0.6133672166971494,0.4832144035525791,0.02223198505071281,0.8113938385064788,0.49837926752756867,0.14296197009431882,0.019287351269161444,0.014723168907756828
DE23,2,0.41283041371703316,0.2885804833750134,0.013942250216649741,1,0,1,0,0,0,1,3.4,26.7,0.9596383249031853,0.18952523245654007,0.005605675889559636,0.034701803125845365,0.32005739959914303,0.5560296608548915,0.43804353022701725,0.020153739507702502,0.7355447577943608,0.4517907830037945,0.12959788782767637,0.017484370036483628,0.013346847356094371
DE24,2,0.4045484609669225,0.2827911571807613,0.013662549269995022,1,0,1,0,0,0,1,3.9,26.1,0.9416945534119352,0.10201690995295964,0.0188338910682387,0.022234454733337357,0.31363660265025284,0.5448749318769613,0.4292557672636071,0.019749427439611417,0.7207887060907187,0.4427272310138056,0.12699797380041516,0.017133609235689375,0.01307909101961021
DE25,0,0.6538614333983617,0.4570681864532236,0.022082432419104216,1,0,0,0,0,0,1,3.1,28.9,1.5298586402299155,0.517915388774809,0.049677598515134744,0.03593698615988471,0.506922898890609,0.8806675549534099,0.6937952269220095,0.03192049947142701,1.1649925336889684,0.7155688126541749,0.2052636091838121,0.027692618746734687,0.021139403623461592
DE26,0,0.4970826049210052,0.3474752189739065,0.01678764409277038,1,0,0,0,0,0,1,3.3,28.4,1.1800736214779957,0.23784678738763904,0.012535168524483678,0.024106093316314765,0.3853760784834854,0.6695065650384486,0.527441321760967,0.024266800605090198,0.8856578684414045,0.5439941725048365,0.15604677740094425,0.021052654829581564,0.016070728877543176
DE27,2,0.6916403271764837,0.4834767335602604,0.023358314167302743,1,0,1,0,0,0,1,3.3,26.2,1.625853689993952,0.2683295871259445,0.011851223431395884,0.058138077210621315,0.5362119582733458,0.9315508833055707,0.7338814207894583,0.03376480638001469,1.2323036288759002,0.7569130436844351,0.21712335758274345,0.029292646594582278,0.022360798927162043
DE40,2,1.0595134485406834,0.8585712427829677,0.01738951327715964,0,1,1,0,0,1,0,7.3,30,2.1229836317874686,0.6459013191983014,-0.02307993759263623,0.06671281231156166,1.099245202860959,1.41855698178857,0.478512808307474,0.035175846491550686,1.5444016050126521,1.0170671476953534,0.4330267999132274,0.03760176693924384,0.030324005596164386
DE71,0,1.9665543076808665,1.44790262213866,0.039767761266476825,1,0,0,0,0,0,1,4.3,32.5,3.4752191358294864,1.3014915734074748,0.3293956854878554,0.042594269675153715,1.783280090399769,1.8519041915430723,0.9829810901699363,0.11405798879680051,2.6380051018811868,1.6588101690157084,0.21723077534328394,0.21723077534328394,0.04732696630572635
DE72,0,0.5263809271165856,0.3875551880968267,0.010644501889950413,1,0,0,0,0,0,1,4.5,29.4,0.9362806963492217,0.20775271844306908,0.021788699739151148,0.02026855789688479,0.4773245384716368,0.4956929190656887,0.26311121719893565,0.030529515332182715,0.7061058857327239,0.44400809642863237,0.05814542546668824,0.05814542546668824,0.012667848685552993
DE73,0,0.6172601581691549,0.4544662703003668,0.012482266324150854,1,0,0,0,0,0,1,4.3,26.3,1.0857477303700873,0.1931142494843499,0.02153966628863903,0.02673889608244845,0.5597342246592542,0.5812738909478933,0.308537150906919,0.03580041086594487,0.8280144820198203,0.5206657264943434,0.06818418501024354,0.06818418501024354,0.014854942268026916
DE80,2,0.728246289760988,0.598202309446526,0.016425937341315276,0,1,1,0,0,1,0,10,26.3,1.4052136372043778,0.3735903466473869,-0.0031626696012477203,0.06127672352417458,0.5892448800824658,0.8962214982535728,0.4419830767743689,0.04902137881933966,0.8948378303030269,0.8948378303030269,0.18679517332369344,0,0.01976668500779825
DE91,0,0.7787589839411404,0.5457444848091456,0.020710035207221998,1,0,0,0,0,0,1,6.2,25.7,1.395003845050822,0.45824140842457806,0.0600588739552213,0.035099341921882576,0.593373874823826,0.9094629484647796,0.41612219811831896,0.030809422353652485,1.0036461826218313,0.7382561584235968,0.16477191068883762,0.04289919568230093,0.019499634401045875
DE92,0,1.0379320996232133,0.7273697391060313,0.02760239145764675,1,0,0,0,0,0,1,5.4,27,1.8535473162008318,0.6679215651480844,0.07926695617516176,0.03378591574679026,0.7908503201344829,1.2121347003309983,0.5546088015665417,0.04106288221532971,1.3376623719133036,0.9839498232103687,0.2196084523541367,0.057176165109952756,0.025989165959069433
DE93,0,0.825863702537442,0.5787548781561601,0.02196272108394689,0,1,0,0,0,1,0,4.3,23.2,1.4651147226204195,0.38049556663677797,-4.1358213764867177e-4,0.07237687408851756,0.6292652224324541,0.9644735449967026,0.4412921408711327,0.03267298887424507,1.0643536312388566,0.7829109865689357,0.1747384531565638,0.045494035141353896,0.020679106882433587
DE94,2,1.209644802436092,0.847703837927655,0.03216885707038984,1,0,1,0,0,0,1,4,22.3,2.134144893222658,0.6421213700868628,0.0663323490797278,0.10601060355207641,0.9216864760256243,1.4126670141910982,0.6463617942289458,0.04785621531779449,1.5589616470929635,1.1467318429947464,0.25593988571858445,0.06663523651844803,0.03028874387202183
DEA1,2,2.835952569161866,2.119655270765312,0.04472889784090407,1,0,1,0,0,0,1,6.3,24.6,4.478390114098297,1.3042019606335782,0.6035871875782454,0.050403940507577905,2.775366974198508,2.0999541713969645,1.2922310247630286,0.13168029457604727,3.7387122871495913,1.7937502328134287,0.5752349710427329,0.19153497392879604,0.06300492563447238
DEA2,2,2.4147835619816314,1.804864002512044,0.03808618254983445,1,0,1,0,0,0,1,5.8,29.3,3.8830441622265637,1.593346388755581,0.40021427811840515,0.04828322390168427,2.363195569854658,1.7880887251590407,1.1003210246928272,0.11212437550502236,3.1834738959177162,1.5273593160899457,0.48980648246930825,0.163090000734578,0.05364802655742697
DEA3,2,1.4345692956308465,1.0722296281776944,0.02262615537640448,1,0,1,0,0,0,1,5.1,24.7,2.2698598389799614,0.40157587715736465,0.09975654726210725,0.07967775340423902,1.4039220149826914,1.0622638083853146,0.653676288928377,0.06661060184594382,1.8912311548030176,0.907370255767474,0.2909831554322809,0.09688814813955465,0.03187110136169561
DEA4,0,1.1281909997096984,0.8432355410201353,0.017793929461223757,1,0,0,0,0,0,1,5,23.2,1.7973716757699816,0.12532224764816494,0.04436407566745039,0.032583784388522885,1.104089001780333,0.8353981028226675,0.5140718598527726,0.05238469951693294,1.4873244350884216,0.7135848781086511,0.2288384242055492,0.07619592657008428,0.02506444952963299
DEA5,0,1.9792758169326783,1.479355636367208,0.031217315401264985,1,0,0,0,0,0,1,6.5,22.2,3.1378826654490806,1.0069718755434969,0.2392107861553111,0.043972570984432184,1.9369917518642377,1.4656057909111246,0.9018774308907042,0.09190267335746326,2.609332362216206,1.2518990959267842,0.40146957308786585,0.13367661579267384,0.043972570984432184
DEB1,0,0.8014216101340518,0.4007108050670259,0.01872916826502276,1,0,1,0,0,0,1,3.8,22.7,1.3232761962573965,0.01642914300774806,0.010222577871487682,0.020080063676136517,0.5333995096515537,0.8415372140635395,0.41474458792892877,0.035413930483368036,1.1259439341310002,0.5569479479626592,0.11847237568920545,0.023548438311105552,0.018254603341942288
DEB2,2,0.28218462904258684,0.14109231452129342,0.006594635498108936,1,0,1,0,0,0,1,3,27.5,0.4648396040370861,-0.0404934942676112,-0.003985074039034754,0.023139139581492118,0.18781268293644435,0.29630953741855187,0.1460336809143058,0.012469425218915196,0.39645059149623163,0.1961042079531457,0.04171472663441218,0.008291525016701343,0.006427538772636699
DEB3,2,1.0875949257788284,0.5437974628894142,0.025417019096464627,1,0,1,0,0,0,1,4.4,28.7,1.8057036443004282,0.3369127392301526,0.08026450552247753,0.044591391956931965,0.7238669294341955,1.1420350940080908,0.5628424584786078,0.048059611331360004,1.5279983643908686,0.7558240936699968,0.16077674100027137,0.03195716423580124,0.02477299553162887
DED2,2,0.6209758971457376,0.4406925721679429,0.015520544707217063,0,1,1,0,0,1,0,7.2,34.1,1.4357597072226969,0.4451662694914659,0.006303239214038456,0.03545572057896631,0.3750427332352881,0.9567135269557743,0.6252025395424392,0.01240950220263821,0.8881658005031061,0.7723437799451495,0.28305483595541436,0.025606909307031224,0.019697622543870173
DED4,2,0.5733669917072373,0.4069056070180394,0.01433061745123776,0,1,1,0,0,1,0,7.4,29.7,1.3027668706147177,0.23098058434743704,0.006687384574080854,0.03091866089690102,0.34628900204529145,0.8833643292720486,0.5772695863927284,0.01145809197943979,0.8200720116713336,0.7131298198632289,0.26135362181674565,0.023643681862336077,0.018187447586412366
