id2.2013,typ_border,trust_natgov,trust_eu,eqi_2013,Competitiveness,Convergence,Cooperation,Multi.Objective,Less.Developed,Transition,More.Developed,unemployment_2013,education_2013,soc_idx,migration_2013,sgi_aggregated,agr_share,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk
DK01,1,43.7847866419295,47.86641929499073,1.6307450000000001,1,0,1,0,0,0,1,7.4,47,81.67,7.3,7,0.5,40.68,39.82,18.44,1.03,51.3,36.31,9.93,2.44
DK02,1,42.2077922077922,43.506493506493506,1.446925,1,0,1,0,0,1,0,6.8,28.8,78.25,3,2.57,2.7,40.05,39.18,19.59,1.16,51.35,34.12,10.47,4.05
DK03,2,46.10526315789474,39.578947368421055,1.689253,1,0,1,0,0,0,1,7.2,28.6,79.94,1.3,2.54,4.2,33.53,43.39,21.69,1.38,49.14,33.4,14.89,2.55
DK04,2,46.783625730994146,46.588693957115005,1.760782,1,0,1,0,0,0,1,6.5,33.5,81.98,2.4,2.24,3.8,35.66,50.11,13.51,0.69,46.65,35.85,14.68,2.8
DK05,1,44.50867052023121,41.040462427745666,1.755923,1,0,1,0,0,0,1,6.4,27.8,81.36,2.7,2.2,4.8,36.12,43.87,18.7,1.29,47.27,33.33,15.75,3.63
EL30,0,12.702702702702704,18.91891891891892,-1.07296,0,1,0,0,0,0,1,28.7,35.2,57.31,-11.9,2.56,1,22.63,33.05,43.48,0.82,31.19,39.5,29.15,0.13
ES11,2,11.585365853658537,12.804878048780488,-0.40356,0,1,1,1,0,0,1,22,32.1,66.27,-1.5,-0.35,7.8,34.73,34.73,27.54,2.99,46.91,30.86,21.6,0.61
ES12,0,17.02127659574468,29.78723404255319,0.596244,0,1,0,1,0,0,1,24.1,37.7,68.27,-2.6,-1.72,5.6,32.72,45.45,16.36,5.45,53.57,37.5,8.92,0
ES22,1,4.166666666666666,4.166666666666666,0.422535,1,1,1,1,0,0,1,17.9,40.3,69.9,-5.1,-1.42,5.9,8.33,70.83,16.66,4.16,20.83,54.16,20.83,4.16
ES24,2,18.30985915492958,28.169014084507044,0.262012,1,1,1,1,0,0,1,21.4,34.8,68.24,-4,-0.32,6.2,23.61,55.55,18.05,2.77,72.46,21.73,5.79,0
ES30,0,13.745704467353953,36.42611683848797,0.419102,1,1,1,1,0,0,1,19.8,46,71.92,-9.3,8.81,0.5,46.42,42.85,10.35,0.35,71.08,22.29,5.57,1.04
ES41,2,24.096385542168676,33.734939759036145,0.400598,1,1,1,1,0,0,1,21.7,33.7,68.86,-5.3,-0.77,7.6,43.66,39.43,9.85,7.04,60.56,22.53,16.9,0
ES43,1,4.3478260869565215,21.73913043478261,0.297832,0,1,1,1,1,0,0,33.9,24.5,64.77,-2.2,-4.11,10.4,13.63,59.09,22.72,4.54,56.52,34.78,8.69,0
ES51,2,5.802047781569966,24.914675767918087,-0.0505,1,1,1,1,0,0,1,23.1,34.8,65.51,-10.1,7.37,1.9,31.92,47.88,18.89,1.3,57.65,31.59,10.09,0.65
ES52,0,16.26984126984127,32.142857142857146,-0.15068,1,1,0,1,0,0,1,28,30.8,66.6,-6.9,2.32,3.5,26.87,52.17,19.76,1.18,48.38,32.66,16.93,2.01
ES53,0,13.793103448275861,67.24137931034483,0.112122,1,1,0,1,0,0,1,22.3,26.8,63.84,2.6,-3.34,1.1,63.93,27.86,4.91,3.27,61.66,35,3.33,0
ES61,2,12.112676056338028,24.507042253521128,0.017955,0,1,1,1,0,1,0,36.2,27.3,63.81,-2.4,4.94,7.8,32.63,46.4,15.86,5.08,45.53,36.31,15.64,2.51
ES62,0,18.333333333333332,23.333333333333332,0.490304,0,1,0,1,0,1,0,29,28.2,65.53,-4.2,-1.46,13.4,29.16,47.22,19.44,4.16,33.33,41.66,23.61,1.38
ES70,2,13.580246913580247,24.691358024691358,-0.20749,1,1,1,1,0,1,0,33.7,27.3,65.32,3.5,-1.46,3.3,22.66,42.66,20,14.66,50,31.7,10.97,7.31
FI19,2,50.41459369817579,46.766169154228855,1.568136,1,0,1,0,0,0,1,8.5,38.5,80.27,2.2,0.83,5.3,23.43,54.25,21.66,0.64,40.81,38.94,16.49,3.74
FI1B,1,41.88235294117647,44,1.598038,1,0,1,0,0,0,1,6.7,49.3,81.19,7.5,4.22,0.9,30.5,44.03,24.31,1.14,50.72,30.51,14.63,4.12
FI1C,2,45.3551912568306,43.98907103825137,1.598038,1,0,1,0,0,0,1,8.4,36.2,79.98,1.8,4.22,4.5,32.42,38.96,27.79,0.81,44.5,43.35,10.4,1.73
FR10,0,22.63157894736842,33.94736842105263,0.551796,1,0,1,1,0,0,1,9,41.9,71.24,-4.4,17.22,0.3,39.9,37.22,21.65,1.21,67.17,21.53,10.76,0.51
FR24,0,23,30,0.947852,1,0,1,1,0,0,1,10.5,27.1,69.2,0.7,0.96,4,34.48,42.52,21.83,1.14,57.6,32.6,8.69,1.08
FR26,0,18.421052631578945,28.947368421052634,0.434835,1,0,0,1,0,0,1,10.6,26.8,68.46,0.2,0.27,7.8,23.68,52.63,21.05,2.63,55.88,29.41,14.7,0
FR30,1,16.176470588235293,24.264705882352942,0.285524,1,0,1,1,0,1,0,14.7,27.7,65.92,-3,4.03,1,30,37.5,30,2.5,54.01,29.92,12.4,3.64
FR41,2,17.073170731707318,21.951219512195124,0.509552,1,0,1,1,0,1,0,12.1,27.6,67.78,-2.8,0.92,3,25,40,30,5,45.55,26.66,24.44,3.33
FR51,0,9.166666666666666,23.333333333333332,0.73872,1,0,0,1,0,0,1,8.8,28.1,69.65,4.1,2.84,4.9,30.43,37.39,26.95,5.21,49.56,34.78,12.17,3.47
FR52,2,18.446601941747574,30.097087378640776,1.146102,1,0,1,1,0,0,1,8,33.4,70.81,4.5,2.33,5.5,24.34,40,33.04,2.6,50,31.25,17.85,0.89
FR53,0,9.30232558139535,23.25581395348837,0.892842,1,0,0,1,0,1,0,9.9,23.1,68.67,3.7,-0.11,5.4,26.82,39.02,30.48,3.65,53.84,32.96,9.89,3.29
FR61,2,17.857142857142858,27.67857142857143,0.93857,1,0,1,1,0,0,1,8.9,29,69.37,7.5,2.6,4.5,33.67,33.67,26.53,6.12,59.79,25.77,14.43,0
FR62,2,18.627450980392158,24.509803921568626,0.890183,1,0,1,1,0,0,1,8.6,39.9,70.56,6.4,2.55,4.5,34.9,36.79,26.41,1.88,63.55,22.42,14.01,0
FR63,0,25,12.5,0.705953,1,0,0,1,0,1,0,6.9,27.8,69.55,0.3,-0.08,6,13.63,36.36,36.36,13.63,23.52,64.7,5.88,5.88
FR71,2,15.476190476190476,29.761904761904763,0.788318,1,0,1,1,0,0,1,8.4,34.4,69.6,3.4,6.77,2.8,34.28,41.71,22.28,1.71,53.64,33.85,10.41,2.08
FR81,2,10.526315789473683,21.052631578947366,0.517005,1,0,1,1,0,1,0,12.9,29,68.58,9.7,2.27,4.5,31.94,41.66,25,1.38,50.7,32.39,14.08,2.81
FR82,2,16.560509554140125,20.382165605095544,0.188156,1,0,1,1,0,0,1,10.8,33.3,67.72,1,5.66,2.5,30.86,37.03,31.48,0.61,47.3,34.73,15.56,2.39
HU10,1,36.64,33.92,-0.76416,1,1,1,1,0,0,1,8.7,33.2,59.42,6.3,2.34,1.1,33.61,38.17,25.33,2.87,54.16,30.61,14.12,1.09
LU00,1,57.35439289239882,45.01480750246792,1.320166,1,0,1,0,0,0,1,5.8,40.7,73.4,19,2.02,1.6,45.63,34.92,19.24,0.19,76.61,17.24,4.75,1.38
MT00,1,53.405725567620934,49.45705824284304,0.195095,0,1,1,0,0,1,0,6.4,18.9,60.08,7.6,-2.98,1.5,40.27,49.25,8.37,2.09,60.73,26.04,10.73,2.48
NL11,1,48.38709677419355,32.25806451612903,1.38978,1,0,1,0,0,0,1,8.2,33.1,80.55,1.9,1.77,2.5,30.76,40,26.15,3.07,34.72,30.55,33.33,1.38
NL12,2,53.84615384615385,41.75824175824176,1.428113,1,0,1,0,0,0,1,8.3,27.2,79.41,-1.3,0.78,3.8,31.5,41.09,26.02,1.36,38.96,40.25,19.48,1.29
NL23,0,37.878787878787875,31.818181818181817,1.276985,1,0,1,0,0,0,1,9.9,29.3,79.61,-2.5,0.11,2.4,33.8,32.39,32.39,1.4,41.66,26.66,28.33,3.33
NL31,0,69.93006993006993,51.048951048951054,1.425797,1,0,0,0,0,0,1,6.4,44.7,81.37,2.5,9.8,1,43.28,35.07,20.89,0.74,43.13,41.17,14.37,1.3
NL32,0,56.09137055837563,40.86294416243655,1.196079,1,0,0,0,0,0,1,7.2,39.2,80.95,3.6,9.25,1.3,33.66,40.14,25.93,0.24,44,41.01,14.74,0.23
NL33,2,46.994535519125684,34.97267759562842,1.367804,1,0,1,0,0,0,1,7.9,34.8,80.28,0.8,9.92,2.2,27.27,40.76,31.67,0.29,34.71,41.83,22.55,0.89
PL11,0,11.71875,31.25,-0.56333,0,1,0,0,1,0,0,11.1,23.5,54.71,-1.1,-3.56,13.8,42.18,50,6.25,1.56,50,17.96,17.96,14.06
PL12,2,28.865979381443296,51.546391752577314,-0.61361,0,1,1,0,0,0,1,8,35.4,57.85,2.9,-0.98,11.1,55.88,37.25,6.53,0.32,55.51,33.11,7.69,3.67
PL21,2,21.25,41.25,-0.3302,0,1,1,0,1,0,0,10.9,26.6,57.08,0.5,-3.23,13.3,51.87,37.5,8.12,2.5,56.32,31.6,6.89,5.17
PL22,2,30.87719298245614,44.21052631578947,-0.72232,0,1,1,0,1,0,0,9.7,24.4,53.79,-2.5,-2.95,11.5,51.94,41.34,6.36,0.35,63.38,28.52,4.92,3.16
PL31,2,17.59259259259259,37.03703703703704,-0.45841,0,1,1,0,1,0,0,10.3,25.5,57.84,-2.7,-4.6,27,48.14,45.37,2.77,3.7,55.2,20.83,15.62,8.33
PL33,0,20.3125,18.75,-0.50829,0,1,0,0,1,0,0,13,26,55.89,-2.1,-5.07,22.1,42.18,46.87,7.81,3.12,45.31,34.37,17.18,3.12
PL34,1,22.22222222222222,37.5,-0.15728,0,1,1,0,1,0,0,9.9,26.1,60.44,-2.4,-5.24,24.3,33.33,29.16,18.05,19.44,36.11,37.5,13.88,12.5
PL41,0,25.773195876288657,42.2680412371134,-0.43655,0,1,1,0,1,0,0,8.8,23.4,57.91,-0.2,-3.49,13.6,51.35,28.64,6.48,13.51,59.56,29.5,4.37,6.55
PL42,1,15.384615384615385,16.666666666666664,-0.31201,0,1,1,0,1,0,0,10.1,23.9,58.69,-0.9,-3.96,8.5,47.05,41.17,8.82,2.94,58.33,15.27,20.83,5.55
PL43,1,7.5,25,-0.1946,0,1,1,0,1,0,0,9.7,20.6,56.53,-1.7,-5.55,9.1,30,57.5,7.5,5,35,25,32.5,7.5
PL51,2,11.29032258064516,38.70967741935484,-0.72797,0,1,1,0,1,0,0,11.3,25.1,56.41,-0.3,-2.71,8.3,55.64,29.83,11.29,3.22,61.36,26.51,7.57,4.54
PL62,1,10.638297872340425,26.595744680851062,-0.26553,0,1,1,0,1,0,0,11.4,20.7,57.46,-3,-5.38,13,36.9,46.42,13.09,3.57,61.45,32.29,3.12,3.12
PT11,2,28.10539523212045,42.659974905897116,-0.12141,0,1,1,1,1,0,0,17.1,16.5,60.16,-4.3,-1.83,9.9,48.19,35.18,13.01,3.61,49.44,37.26,12.79,0.49
PT16,2,13.863636363636363,33.63636363636363,0.049318,0,1,1,1,1,0,0,11.4,17,61.05,-2.7,-2.81,14.8,45.89,37.68,15.45,0.96,33.1,50.33,15.65,0.89
PT17,0,27.42857142857143,50.476190476190474,-0.06332,1,1,1,1,0,0,1,18.5,27,63.99,-4.2,8.27,1.6,37.4,46.24,14.09,2.25,62.74,26.73,10.16,0.35
PT18,2,24.571428571428573,34.285714285714285,1.004471,0,1,1,1,1,0,0,16.9,15.6,58.2,-0.7,-5.4,15.1,31.95,36.68,26.03,5.32,30.91,44.44,21.73,2.89
RO11,2,31.439393939393938,53.03030303030303,-1.62984,0,1,1,0,1,0,0,4.1,14.2,48.67,0.8,-5.04,28.5,55.73,31.62,9.09,3.55,58.36,28.4,8.94,4.28
RO12,0,17.28395061728395,61.72839506172839,-1.06367,0,1,0,0,1,0,0,9.5,14.3,49.46,-0.4,-5.72,14.7,51.52,39.69,6.87,1.9,72.48,14.72,8.91,3.87
RO22,2,28.86178861788618,56.50406504065041,-1.93103,0,1,1,0,1,0,0,9.5,12.4,42.89,-1.6,-7.1,30.5,56.02,29.43,12.76,1.77,50.19,32.18,13.02,4.59
RO31,2,22.64808362369338,45.99303135888502,-1.47761,0,1,1,0,1,0,0,9.5,11.4,41.82,-2.2,-7.37,32.9,52.15,34.17,7.19,6.47,55.67,29.3,11.35,3.66
RO41,2,23.076923076923077,48.41628959276018,-1.65895,0,1,1,0,1,0,0,7,14.3,46.32,-2.1,-7.04,49.8,54.43,31.64,9.7,4.21,59.9,17.92,17.45,4.71
RO42,2,21.53846153846154,51.28205128205128,-1.59094,0,1,1,0,1,0,0,5.2,14.2,50.07,0.5,-5.36,22.5,53.69,37.43,7.88,0.98,54.18,34.97,9.35,1.47
SK01,1,27.403846153846157,40.86538461538461,-0.64619,1,1,1,1,0,0,1,6.4,37.5,62.59,6.9,6.42,0.8,34.51,44.24,20.79,0.44,48.89,38.32,9.69,3.08
SK02,1,38.481675392670155,34.94764397905759,-0.43395,0,1,1,1,1,0,0,11.7,16.6,56.64,0.4,-3.86,4.5,24.02,41.16,34.02,0.77,46.05,35.96,14.1,3.88
SK03,1,33.61522198731501,43.76321353065539,-0.44375,0,1,1,1,1,0,0,16.8,18.8,57.46,-0.8,-4.74,4.8,32.85,45.71,20,1.42,47.13,35.65,15.36,1.84
SK04,1,32.88364249578415,35.24451939291737,-0.70736,0,1,1,1,1,0,0,18.5,17.5,54.93,-1,-4.06,3.6,27.55,50.95,20.62,0.86,44.29,40.1,12.75,2.85
UKN0,2,28.1198003327787,24.625623960066555,0.731184,1,0,1,0,0,1,0,7.5,32.5,73.18,0.7,-2.88,4.1,33.05,36.71,24.25,5.98,33.22,47.5,15.61,3.65
