id2.2013,typ_border,typ_border.incl,trust_natgov,trust_eu,trust.incl,eqi_2013,eqi.incl,Competitiveness,Convergence,Cooperation,Multi.Objective,struct_2007.incl,Less.Developed,Transition,More.Developed,struct_2014.incl,unemployment_2013,unemp.incl,education_2013,edu.incl,soc_idx,soc_idx.incl,migration_2013,migration.incl,sgi_aggregated,sgi_aggregated.incl,agr_share,agr.incl,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_id.incl,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk,eu_att.incl
DE92,0,1,39.937106918238996,27.9874213836478,0,1.062073,0,1,0,0,0,1,0,0,1,1,5.4,1,27,1,71.32,1,25.7,1,3.05,1,1.3,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DE93,0,1,39.937106918238996,27.9874213836478,0,1.062073,0,0,1,0,0,1,0,1,0,1,4.3,1,23.2,1,70.85,1,18.4,1,-0.02,1,3.5,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DE94,2,1,39.937106918238996,27.9874213836478,0,1.062073,0,1,0,1,0,1,0,0,1,1,4,1,22.3,1,70.46,1,21.2,1,2.19,1,3.5,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DEA1,2,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,1,0,1,0,0,1,1,6.3,1,24.6,1,71.08,1,20.7,1,9.58,1,0.8,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEA2,2,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,1,0,1,0,0,1,1,5.8,1,29.3,1,72.38,1,29.7,1,7.46,1,0.9,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEA3,2,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,1,0,1,0,0,1,1,5.1,1,24.7,1,71.22,1,12.6,1,3.13,1,2.5,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEA4,0,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,0,0,1,0,0,1,1,5,1,23.2,1,71.71,1,5,1,1.77,1,1.3,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEA5,0,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,0,0,1,0,0,1,1,6.5,1,22.2,1,71.36,1,22.9,1,5.44,1,1,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEB1,0,1,43.90243902439025,21.951219512195124,0,1.025997,0,1,0,1,0,1,0,0,1,1,3.8,1,22.7,1,72.49,1,0.9,1,0.56,1,1.1,1,29.22,46.1,22.72,1.94,1,61.68,30.51,6.49,1.29,1
DEB2,2,1,43.90243902439025,21.951219512195124,0,1.025997,0,1,0,1,0,1,0,0,1,1,3,1,27.5,1,72.32,1,-6.3,1,-0.62,1,3.6,1,29.22,46.1,22.72,1.94,1,61.68,30.51,6.49,1.29,1
DEB3,2,1,43.90243902439025,21.951219512195124,0,1.025997,0,1,0,1,0,1,0,0,1,1,4.4,1,28.7,1,72.89,1,13.6,1,3.24,1,1.8,1,29.22,46.1,22.72,1.94,1,61.68,30.51,6.49,1.29,1
DED2,2,1,31.52542372881356,22.372881355932204,0,0.78794,0,0,1,1,0,1,0,1,0,1,7.2,1,34.1,1,72.89,1,22.6,1,0.32,1,1.8,1,19.04,48.57,31.74,0.63,1,45.09,39.21,14.37,1.3,1
DED4,2,1,31.52542372881356,22.372881355932204,0,0.78794,0,0,1,1,0,1,0,1,0,1,7.4,1,29.7,1,71.63,1,12.7,1,0.3676923076923077,1,1.7,1,19.04,48.57,31.74,0.63,1,45.09,39.21,14.37,1.3,1
DED5,0,1,31.52542372881356,22.372881355932204,0,0.78794,0,0,1,0,0,1,0,0,1,1,9.2,1,35.3,1,73.33,1,40.5,1,0.46,1,1.8,1,19.04,48.57,31.74,0.63,1,45.09,39.21,14.37,1.3,1
DEE0,0,1,34.26573426573427,20.97902097902098,1,0.374654,1,0,1,1,0,1,0,1,0,1,9.1,1,25.7,1,69.18,1,15.6,1,0.46,1,2.3,1,17.91,50,31.34,0.74,1,44.66,40,14.66,0.66,1
DK01,1,1,43.7847866419295,47.86641929499073,1,1.6307450000000001,1,1,0,1,0,1,0,0,1,1,7.4,1,47,1,81.67,1,7.3,1,7,1,0.5,1,40.68,39.82,18.44,1.03,1,51.3,36.31,9.93,2.44,1
DK02,1,1,42.2077922077922,43.506493506493506,1,1.446925,1,1,0,1,0,1,0,1,0,1,6.8,1,28.8,1,78.25,1,3,1,2.57,1,2.7,1,40.05,39.18,19.59,1.16,1,51.35,34.12,10.47,4.05,1
DK03,2,1,46.10526315789474,39.578947368421055,1,1.689253,1,1,0,1,0,1,0,0,1,1,7.2,1,28.6,1,79.94,1,1.3,1,2.54,1,4.2,1,33.53,43.39,21.69,1.38,1,49.14,33.4,14.89,2.55,1
DK04,2,1,46.783625730994146,46.588693957115005,1,1.760782,1,1,0,1,0,1,0,0,1,1,6.5,1,33.5,1,81.98,1,2.4,1,2.24,1,3.8,1,35.66,50.11,13.51,0.69,1,46.65,35.85,14.68,2.8,1
DK05,1,1,44.50867052023121,41.040462427745666,1,1.755923,1,1,0,1,0,1,0,0,1,1,6.4,1,27.8,1,81.36,1,2.7,1,2.2,1,4.8,1,36.12,43.87,18.7,1.29,1,47.27,33.33,15.75,3.63,1
EL30,0,1,12.702702702702704,18.91891891891892,1,-1.07296,1,0,1,0,0,1,0,0,1,1,28.7,1,35.2,1,57.31,1,-11.9,1,2.56,1,1,1,22.63,33.05,43.48,0.82,1,31.19,39.5,29.15,0.13,1
EL43,1,1,17.708333333333336,7.291666666666667,1,-0.65337,0,0,1,1,1,1,0,1,0,1,24.9,1,21.6,1,60.4,1,0.1,1,-4.32,1,20.7,1,25,44.79,28.12,2.08,1,35,43.75,21.25,0,1
ES11,2,1,11.585365853658537,12.804878048780488,1,-0.40356,1,0,1,1,1,1,0,0,1,1,22,1,32.1,1,66.27,1,-1.5,1,-0.35,1,7.8,1,34.73,34.73,27.54,2.99,1,46.91,30.86,21.6,0.61,1
ES12,0,1,17.02127659574468,29.78723404255319,1,0.596244,1,0,1,0,1,1,0,0,1,1,24.1,1,37.7,1,68.27,1,-2.6,1,-1.72,1,5.6,1,32.72,45.45,16.36,5.45,1,53.57,37.5,8.92,0,1
ES22,1,1,4.166666666666666,4.166666666666666,1,0.422535,1,1,1,1,1,1,0,0,1,1,17.9,1,40.3,1,69.9,1,-5.1,1,-1.42,1,5.9,1,8.33,70.83,16.66,4.16,1,20.83,54.16,20.83,4.16,1
